LABEL,YEAR,Working Age Population (15-64 years),0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years and over,Total,0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years and over,Total
Australia,2011,67.2,"748,527","712,205","711,543","746,599","823,470","841,084","769,211","782,204","786,748","764,147","739,627","662,069","611,198","474,253","357,296","258,411","190,572","139,070","11,118,234","709,587","675,429","676,322","706,860","788,193","817,086","766,950","791,706","800,496","777,690","754,436","673,924","614,802","480,007","370,375","299,930","253,460","264,537","11,221,790"
Australia,2012,66.9,"764,555","729,260","713,342","750,636","829,036","859,142","798,496","774,856","810,275","759,390","754,013","675,708","608,182","508,032","371,058","267,237","192,716","146,889","11,312,823","724,790","690,320","678,260","709,039","794,895","837,419","792,658","781,494","825,253","773,305","769,697","690,394","615,828","515,590","384,367","305,669","253,075","273,378","11,415,431"
Australia,2013,66.7,"779,375","747,686","716,616","754,838","836,701","871,107","831,294","773,368","822,586","758,241","764,634","687,898","614,233","536,353","383,382","277,544","194,495","155,236","11,505,587","737,798","707,321","682,062","711,826","800,953","853,517","823,131","778,760","838,950","771,782","781,985","705,876","626,785","544,829","398,614","312,651","252,813","282,113","11,611,766"
Australia,2014,66.4,"787,421","764,060","721,694","758,918","846,017","876,189","854,779","775,470","822,978","762,748","769,145","702,015","622,449","553,736","400,914","289,525","196,827","163,573","11,668,458","745,686","723,095","685,663","715,821","805,134","867,066","849,737","781,959","840,496","778,616","788,404","722,261","640,258","564,330","417,795","322,377","252,970","290,568","11,792,236"
Australia,2015,66.2,"790,998","778,195","729,063","757,232","852,796","884,754","876,234","785,187","819,140","774,137","768,969","714,301","632,658","570,325","419,294","302,376","198,303","172,965","11,826,927","749,224","737,213","690,665","718,558","807,653","874,149","873,854","790,227","835,408","789,445","788,697","736,365","653,635","583,032","438,492","331,842","253,313","299,078","11,950,850"
Australia,2016,65.9,"807,954","804,001","735,276","755,811","865,980","909,484","892,781","801,923","807,978","785,971","763,511","724,209","638,112","589,601","436,862","308,169","202,520","179,214","12,009,357","765,863","762,794","696,191","719,980","830,287","908,778","903,112","805,900","819,904","820,035","786,907","752,977","667,667","604,362","453,184","342,847","252,593","303,463","12,196,844"
New South Wales,2011,66.5,"243,036","230,648","229,235","237,374","254,242","262,888","248,660","251,928","246,411","245,601","240,359","214,741","199,382","157,800","120,075","88,542","65,898","48,289","3,585,109","230,369","217,325","216,714","223,296","245,223","259,683","249,725","256,338","253,126","249,852","245,120","218,765","199,584","159,549","125,178","103,000","87,965","92,608","3,633,420"
New South Wales,2012,66.2,"246,722","234,846","228,738","238,494","255,169","264,188","254,932","247,754","253,220","241,574","244,025","219,600","197,755","168,269","123,745","91,181","66,561","50,798","3,627,571","233,316","221,102","216,343","224,430","245,964","262,975","255,868","252,015","260,499","246,632","249,219","224,010","199,912","170,576","128,857","104,582","87,648","95,664","3,679,612"
New South Wales,2013,65.9,"250,110","239,094","229,670","239,227","257,971","265,727","262,466","245,900","257,394","238,602","246,636","223,526","199,082","177,222","127,735","94,260","67,003","53,694","3,675,319","236,572","225,324","217,151","225,695","247,573","265,379","263,907","250,058","265,598","243,986","252,362","229,413","203,276","179,489","133,225","106,639","87,256","98,841","3,731,744"
New South Wales,2014,65.8,"251,592","243,869","230,974","240,884","262,648","268,878","269,015","246,622","258,807","238,050","247,564","227,701","202,023","182,012","133,741","97,911","67,536","56,666","3,726,493","237,656","230,366","218,047","226,552","251,008","269,790","271,392","251,017","266,932","244,679","254,273","234,607","207,745","185,157","139,506","109,585","86,786","101,827","3,786,925"
New South Wales,2015,65.6,"252,869","248,116","233,075","241,064","266,697","272,971","275,689","250,172","259,064","240,373","246,515","231,583","205,513","186,729","139,801","101,739","67,766","59,589","3,779,325","238,970","234,951","219,327","227,795","253,487","273,474","278,426","253,659","265,931","247,429","253,664","238,941","212,544","190,497","145,971","112,138","86,651","104,504","3,838,359"
New South Wales,2016,65.5,"257,357","255,567","233,419","239,023","270,608","287,540","283,452","256,954","256,714","243,608","243,412","233,411","206,024","191,158","143,982","102,374","68,526","61,285","3,834,414","243,613","242,671","220,331","226,511","259,628","288,420","287,443","258,386","260,905","256,544","250,732","243,587","216,153","195,368","149,513","114,679","85,596","104,780","3,904,860"
Victoria,2011,67.6,"180,813","170,480","169,404","181,658","211,018","214,583","195,753","195,251","196,896","186,645","179,035","160,162","145,827","114,224","88,377","65,642","49,252","35,939","2,740,959","171,138","162,249","160,652","172,925","201,429","210,211","196,065","200,026","203,455","192,627","184,788","165,471","151,770","118,656","93,377","77,493","66,075","68,451","2,796,858"
Victoria,2012,67.3,"185,025","174,775","169,361","181,930","210,244","218,634","203,198","194,223","202,097","186,094","182,707","163,536","145,369","122,231","91,587","67,782","49,655","38,097","2,786,545","175,255","165,771","161,122","173,228","202,186","215,576","203,499","197,579","209,569","192,450","188,444","169,859","151,696","127,429","96,889","78,825","65,696","70,903","2,845,976"
Victoria,2013,67.1,"189,694","179,268","170,305","182,896","210,999","221,264","211,476","194,876","204,397","187,179","185,641","166,782","147,294","128,981","94,091","70,133","49,986","40,448","2,835,710","179,364","170,071","162,558","173,096","203,612","220,449","211,766","197,671","212,175","193,556","191,651","173,631","154,311","134,949","99,820","80,418","65,813","72,924","2,897,835"
Victoria,2014,66.9,"193,363","183,623","172,187","184,429","214,847","223,803","218,546","196,173","204,394","190,357","186,722","170,871","149,836","133,299","97,669","72,644","50,645","42,596","2,886,004","183,101","174,220","164,261","174,248","205,425","225,726","219,775","199,023","212,714","196,769","193,766","177,958","157,906","139,584","104,244","82,386","66,119","74,881","2,952,106"
Victoria,2015,66.7,"194,393","188,073","174,632","184,614","217,672","227,707","225,247","200,081","203,851","194,232","187,814","173,842","152,940","137,336","101,565","75,697","50,893","45,357","2,935,946","183,831","178,478","165,695","175,870","207,438","228,806","227,646","202,142","211,786","200,646","194,896","181,501","161,288","144,616","108,860","84,675","65,927","77,434","3,001,535"
