LABEL,YEAR,0-14,Working,65-74,75-85,Over 84
Australia,2011,19.0,67.2,7.5,4.5,1.8
Australia,2012,18.9,66.9,7.8,4.5,1.8
Australia,2013,18.9,66.7,8.1,4.5,1.9
Australia,2014,18.9,66.4,8.3,4.5,1.9
Australia,2015,18.8,66.2,8.5,4.6,2.0
Australia,2016,18.9,65.9,8.6,4.6,2.0
New South Wales,2011,18.9,66.5,7.8,4.8,2.0
New South Wales,2012,18.9,66.2,8.1,4.8,2.0
New South Wales,2013,18.9,65.9,8.3,4.8,2.1
New South Wales,2014,18.8,65.8,8.5,4.8,2.1
New South Wales,2015,18.7,65.6,8.7,4.8,2.2
New South Wales,2016,18.8,65.5,8.8,4.8,2.1
Victoria,2011,18.3,67.6,7.5,4.7,1.9
Victoria,2012,18.3,67.3,7.8,4.7,1.9
Victoria,2013,18.3,67.1,8.0,4.6,2.0
Victoria,2014,18.3,66.9,8.1,4.7,2.0
Victoria,2015,18.3,66.7,8.3,4.7,2.1
Victoria,2016,18.5,66.5,8.4,4.6,2.1
Queensland,2011,19.9,67.1,7.4,4.0,1.6
Queensland,2012,19.9,66.8,7.7,4.0,1.6
Queensland,2013,19.9,66.5,8.0,4.0,1.6
Queensland,2014,19.8,66.2,8.2,4.1,1.7
Queensland,2015,19.8,65.9,8.4,4.2,1.7
Queensland,2016,19.7,65.6,8.7,4.3,1.8
South Australia,2011,17.7,66.3,8.3,5.3,2.3
South Australia,2012,17.7,65.9,8.7,5.3,2.4
South Australia,2013,17.7,65.6,9.0,5.3,2.4
South Australia,2014,17.7,65.3,9.2,5.3,2.5
South Australia,2015,17.6,65.0,9.5,5.4,2.5
South Australia,2016,17.8,64.5,9.8,5.4,2.6
Western Australia,2011,19.3,68.6,6.8,3.9,1.5
Western Australia,2012,19.2,68.5,7.0,3.8,1.5
Western Australia,2013,19.2,68.3,7.2,3.8,1.5
Western Australia,2014,19.2,68.0,7.4,3.9,1.6
Western Australia,2015,19.2,67.7,7.6,3.9,1.6
Western Australia,2016,19.4,67.1,7.9,4.0,1.6
Tasmania,2011,18.8,65.2,9.0,5.1,2.0
Tasmania,2012,18.6,64.7,9.5,5.2,2.1
Tasmania,2013,18.5,64.2,9.9,5.3,2.1
Tasmania,2014,18.4,63.8,10.2,5.4,2.1
Tasmania,2015,18.2,63.5,10.6,5.5,2.2
Tasmania,2016,18.1,63.2,10.9,5.6,2.2
Northern Territory,2011,22.8,71.7,4.0,1.3,0.3
Northern Territory,2012,22.6,71.5,4.3,1.3,0.3
Northern Territory,2013,22.3,71.6,4.5,1.4,0.3
Northern Territory,2014,22.1,71.3,4.8,1.4,0.4
Northern Territory,2015,22.1,71.0,5.0,1.5,0.4
Northern Territory,2016,21.8,71.3,4.9,1.6,0.4
Australian Capital Territory,2011,18.2,71.2,6.0,3.2,1.3
Australian Capital Territory,2012,18.3,70.7,6.4,3.3,1.3
Australian Capital Territory,2013,18.5,70.1,6.7,3.3,1.4
Australian Capital Territory,2014,18.7,69.6,6.9,3.4,1.5
Australian Capital Territory,2015,18.9,69.0,7.2,3.5,1.5
Australian Capital Territory,2016,18.9,68.9,7.2,3.5,1.5
